KARİYER YOLU — F HAVUZU (1132 oyuncu) — tanınırlık sırasıyla (üst=en bilinen)
format: # | İsim | Milliyet | milliMaç | piyasaDeğeri(M€)
204 | Antonio Valencia | Ecuador | 98 cap | 28M
205 | Giovanni van Bronckhorst | Netherlands | 106 cap | 9M
206 | Carlos Tévez | Argentina | 76 cap | 40M
207 | Edson Álvarez | Mexico | 97 cap | 35M
208 | Shinji Kagawa | Japan | 97 cap | 22M
209 | Enner Valencia | Ecuador | 105 cap | 11M
210 | Blaise Matuidi | France | 84 cap | 30M
211 | Mario Gómez | Germany | 78 cap | 42M
212 | Vincent Kompany | Belgium | 89 cap | 35M
213 | Jadon Sancho | England | 23 cap | 130M
214 | Ricardo Carvalho | Portugal | 89 cap | 30M
215 | Santi Cazorla | Spain | 81 cap | 30M
216 | Jérôme Boateng | Germany | 76 cap | 45M
217 | Youssef En-Nesyri | Morocco | 92 cap | 40M
218 | Karel Poborský | Czech Republic | 117 cap | 3M
219 | Rodrigo De Paul | Argentina | 85 cap | 40M
220 | Min-jae Kim | Korea, South | 78 cap | 60M
221 | Bruno Alves | Portugal | 95 cap | 18M
222 | Sokratis Papastathopoulos | Greece | 90 cap | 28M
223 | Gheorghe Popescu | Romania | 116 cap | 0M
224 | Marco Verratti | Italy | 55 cap | 75M
225 | Aurélien Tchouaméni | France | 44 cap | 100M
226 | Vedran Corluka | Croatia | 103 cap | 15M
227 | Stevan Jovetić | Montenegro | 91 cap | 30M
228 | Gylfi Sigurdsson | Iceland | 85 cap | 35M
229 | Jürgen Klinsmann | Germany | 108 cap | 0M
230 | Jonathan David | Canada | 75 cap | 60M
231 | Vitinha | Portugal | 37 cap | 110M
232 | Chancel Mbemba | DR Congo | 104 cap | 20M
233 | Mark Schwarzer | Australia | 100 cap | 5M
234 | Fernando Couto | Portugal | 110 cap | 1M
235 | Manuel Akanji | Switzerland | 79 cap | 45M
236 | Simão | Portugal | 85 cap | 25M
237 | Mario Mandžukić | Croatia | 89 cap | 30M
238 | David de Gea | Spain | 45 cap | 70M
239 | Jorginho | Italy | 57 cap | 65M
240 | Patrice Evra | France | 81 cap | 27M
