KARİYER YOLU — F HAVUZU (1132 oyuncu) — tanınırlık sırasıyla (üst=en bilinen)
format: # | İsim | Milliyet | milliMaç | piyasaDeğeri(M€)
1011 | Marcelo Zalayeta | Uruguay | 31 cap | 7M
1012 | Bright Osayi-Samuel | Nigeria | 34 cap | 9M
1013 | Capucho | Portugal | 34 cap | 0M
1014 | Arnaut Danjuma | Netherlands | 6 cap | 50M
1015 | Leny Yoro | France | 10 cap | 55M
1016 | Isaac Kiese Thelin | Sweden | 33 cap | 5M
1017 | Emmanuel Emenike | Nigeria | 36 cap | 16M
1018 | Marko Pantelic | Serbia | 39 cap | 8M
1019 | Nico Claesen | Belgium | 36 cap | 0M
1020 | Ruben Loftus-Cheek | England | 17 cap | 30M
1021 | Maxence Caqueret | France | 24 cap | 25M
1022 | Ümit Davala | Türkiye | 41 cap | 5M
1023 | Jean-Philippe Mateta | France | 11 cap | 40M
1024 | Pierre Kalulu | France | 19 cap | 35M
1025 | Noah Okafor | Switzerland | 24 cap | 25M
1026 | Malick Thiaw | Germany | 11 cap | 45M
1027 | Yann Bisseck | Germany | 8 cap | 50M
1028 | Habib Beye | Senegal | 34 cap | 6M
1029 | Jarell Quansah | England | 14 cap | 45M
1030 | Sam Adekugbe | Canada | 44 cap | 3M
1031 | Abdukodir Khusanov | Uzbekistan | 25 cap | 35M
1032 | Radu Drăgușin | Romania | 29 cap | 25M
1033 | Tiemoué Bakayoko | France | 11 cap | 40M
1034 | Gaël Kakuta | DR Congo | 30 cap | 8M
1035 | Marash Kumbulla | Albania | 26 cap | 27M
1036 | Marcel Tisserand | DR Congo | 35 cap | 8M
1037 | Boubacar Kamara | France | 10 cap | 40M
1038 | Jhon Durán | Colombia | 17 cap | 40M
1039 | Rubén Sosa | Uruguay | 35 cap | 0M
1040 | Mouctar Diakhaby | Guinea | 18 cap | 30M
1041 | Felix Nmecha | Germany | 6 cap | 50M
1042 | Mark Hateley | England | 32 cap | 0M
1043 | Nico González | Spain | 11 cap | 45M
1044 | Allan Saint-Maximin | France | 7 cap | 40M
1045 | Carsten Jancker | Germany | 33 cap | 1M
1046 | Alen Bokšić | Croatia | 40 cap | 0M
1047 | Martin Terrier | France | 13 cap | 35M
1048 | Vaclav Cerny | Czech Republic | 30 cap | 9M
1049 | Elvir Baljic | Bosnia-Herzegovina | 39 cap | 3M
1050 | Kenan Karaman | Türkiye | 31 cap | 4M
1051 | Simone Zaza | Italy | 18 cap | 25M
1052 | Facundo Pellistri | Uruguay | 39 cap | 10M
1053 | Osvaldo Ardiles | Argentina | 39 cap | 0M
1054 | Guy Demel | Cote d'Ivoire | 31 cap | 6M
1055 | Angel Gomes | England | 18 cap | 28M
1056 | Lucas Vázquez | Spain | 9 cap | 25M
1057 | Elye Wahi | Cote d'Ivoire | 13 cap | 40M
1058 | Lefter Küçükandonyadis | Türkiye | 46 cap | 0M
1059 | Karl Hein | Estonia | 45 cap | 3M
1060 | Roberto Di Matteo | Italy | 34 cap | 0M
1061 | Marek Heinz | Czech Republic | 30 cap | 2M
1062 | Jesper Lindstrøm | Denmark | 18 cap | 28M
1063 | Axel Disasi | France | 5 cap | 42M
1064 | Manucho | Angola | 37 cap | 3M
1065 | El Bilal Touré | Mali | 30 cap | 20M
1066 | Amine Adli | Morocco | 17 cap | 30M
1067 | Noa Lang | Netherlands | 15 cap | 25M
1068 | Alexander Manninger | Austria | 33 cap | 5M
1069 | John Charles | Wales | 38 cap | 0M
1070 | Kerem Demirbay | Germany | 4 cap | 32M
1071 | Morgan Sanson | France | 10 cap | 28M
1072 | Borja Iglesias | Spain | 6 cap | 28M
1073 | Jobe Bellingham | England | 11 cap | 40M
1074 | Hakan Ünsal | Türkiye | 33 cap | 2M
1075 | Bryan Roy | Netherlands | 32 cap | 0M
1076 | José Campaña | Spain | 12 cap | 25M
1077 | Simone Verdi | Italy | 10 cap | 25M
1078 | Boubakary Soumaré | France | 14 cap | 28M
1079 | Youssoufa Moukoko | Germany | 15 cap | 30M
1080 | Majeed Waris | Ghana | 30 cap | 5M
1081 | Luis Suárez | Colombia | 10 cap | 30M
1082 | Taribo West | Nigeria | 39 cap | 1M
1083 | Adam Ounas | Algeria | 30 cap | 10M
1084 | Bryan Gil | Spain | 14 cap | 30M
1085 | Quinton Fortune | South Africa | 38 cap | 3M
1086 | Junior Olaitan | Benin | 38 cap | 7M
1087 | Angeliño | Spain | 2 cap | 35M
1088 | Jorge Cadete | Portugal | 33 cap | 0M
1089 | Emerson Royal | Brazil | 11 cap | 30M
1090 | Mario Hermoso | Spain | 5 cap | 35M
1091 | Guglielmo Vicario | Italy | 5 cap | 35M
1092 | Suat Serdar | Germany | 11 cap | 25M
1093 | Cristhian Mosquera | Spain | 14 cap | 35M
1094 | Alemão | Brazil | 36 cap | 0M
1095 | Malo Gusto | France | 10 cap | 35M
1096 | Sepp van den Berg | Netherlands | 10 cap | 32M
1097 | Patrick Dorgu | Denmark | 12 cap | 35M
1098 | Enzo Le Fée | France | 15 cap | 25M
1099 | Rafinha | Brazil | 8 cap | 28M
1100 | Junior Firpo | Dominican Republic | 15 cap | 25M
1101 | Josip Skoblar | Croatia | 31 cap | 0M
1102 | Nuno Tavares | Portugal | 16 cap | 25M
1103 | Ange-Yoan Bonny | Cote d'Ivoire | 10 cap | 35M
1104 | Adolfo Valencia | Colombia | 37 cap | 0M
1105 | Rodrigo Riquelme | Spain | 14 cap | 25M
1106 | Djordje Petrovic | Serbia | 12 cap | 28M
1107 | Dan-Axel Zagadou | France | 9 cap | 35M
1108 | Jean-Clair Todibo | France | 7 cap | 35M
1109 | Daniel Amokachi | Nigeria | 31 cap | 0M
1110 | Aleix García | Spain | 8 cap | 25M
1111 | Djed Spence | England | 6 cap | 32M
1112 | Máximo Perrone | Argentina | 10 cap | 35M
1113 | Tetê | Brazil | 7 cap | 28M
1114 | Tyler Morton | England | 13 cap | 25M
1115 | Valentín Barco | Argentina | 9 cap | 35M
1116 | Yan Couto | Brazil | 13 cap | 25M
1117 | Arthur Vermeeren | Belgium | 11 cap | 30M
1118 | Mario Gila | Spain | 9 cap | 30M
1119 | Jonathan Rowe | England | 10 cap | 28M
1120 | Diego Moreira | Belgium | 12 cap | 25M
1121 | Lorenzo Lucca | Italy | 6 cap | 30M
1122 | Renato Veiga | Portugal | 11 cap | 25M
1123 | Vitor Reis | Brazil | 13 cap | 30M
1124 | Loïc Badé | France | 6 cap | 30M
1125 | Lesley Ugochukwu | France | 12 cap | 25M
1126 | Mamadou Sarr | Senegal | 14 cap | 25M
1127 | Reinier | Brazil | 10 cap | 25M
1128 | Jesper Blomqvist | Sweden | 30 cap | 0M
1129 | Gabriel Sara | Brazil | 1 cap | 27M
1130 | Jacobo Ramón | Spain | 7 cap | 30M
1131 | Natan | Brazil | 0 cap | 25M
1132 | Giovanni Leoni | Italy | 7 cap | 25M
